timeStamp	elapsed	label	responseCode	responseMessage	threadName	dataType	success	failureMessage	bytes	sentBytes	grpThreads	allThreads	Latency	IdleTime	Connect
1498036410369	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-11	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036410469	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-12	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036410470	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-12	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036410570	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-13	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036410572	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-13	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036410669	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-14	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036410670	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-14	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036410769	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-15	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036410770	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-15	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036410870	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-16	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036410872	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-16	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036410969	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-17	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036410970	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-17	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411068	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-18	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411069	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-18	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411168	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-19	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411168	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-19	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411267	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-20	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411268	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-20	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411367	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-21	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411368	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-21	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411467	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-22	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411468	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-22	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411567	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-23	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411568	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-23	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411667	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-24	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411668	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-24	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411768	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-25	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411769	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-25	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411867	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-26	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411868	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-26	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036411968	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-27	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
1498036411969	0	HTTP request2	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/	TestGroup 1-27	text	false	Test failed: text expected to contain /华商网/	1165	0	1	1	0	0	0
1498036412067	0	HTTP request	Non HTTP response code: java.net.URISyntaxException	Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/	TestGroup 1-28	text	false	Test failed: text expected to contain /百度一下/	1167	0	1	1	0	0	0
