timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1498028006491,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-11,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028006591,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-12,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028006591,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-12,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028006691,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-13,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028006692,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-13,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028006791,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-14,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028006791,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-14,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028006891,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-15,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028006903,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-15,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028006990,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-16,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028006991,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-16,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007089,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-17,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007090,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-17,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007190,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-18,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007191,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-18,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028007290,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-19,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
